Question_ID,Combined_IDs
0,"['P138', 'Q761383']"
1,"['P31', 'P710', 'Q16521', 'Q625657', 'Q645883']"
2,"['P451', 'P674', 'Q11835640', 'Q4205826', 'Q4463198']"
3,"['P112', 'P39', 'Q10891456', 'Q860580']"
4,"['P50', 'P800', 'P921', 'Q16003532', 'Q69071', 'Q696071']"
5,"['P414', 'Q81230']"
6,"['P50', 'P800', 'Q11835640']"
7,"['P131', 'P19', 'P31', 'Q2926117', 'Q35657', 'Q87192979']"
8,"['P2102', 'Q283']"
9,"['P69', 'Q231121']"
10,"['P31', 'P69', 'Q6711', 'Q9826']"
11,"['P31', 'P36', 'P706', 'Q23442', 'Q252']"
12,"['P400', 'Q3208174', 'Q5014725']"
13,"['P39', 'P580', 'Q1048744', 'Q765165']"
14,"['P39', 'P580', 'Q218295']"
15,"['P1344', 'P1352', 'P361', 'Q181278', 'Q350568']"
16,"['P1346', 'P3450', 'Q128109', 'Q155223']"
17,"['P1346', 'Q134798', 'Q37922']"
18,"['P54', 'P580', 'P582', 'Q121783', 'Q25369', 'Q36159']"
19,"['P57', 'Q2745616', 'Q44578', 'Q58815001']"
20,"['P17', 'Q131964', 'Q641']"
21,"['P112', 'P69', 'Q860580']"
22,"['P103', 'P279', 'P451', 'Q1860', 'Q2695156']"
23,"['P26', 'P31', 'P35', 'Q6256']"
24,"['P31', 'P793', 'Q108886259', 'Q155810']"
25,"['P218', 'Q24905']"
26,"['P495', 'Q21102']"
27,"['P166', 'P27', 'Q123737']"
28,"['P136', 'P279', 'Q11399', 'Q158895']"
29,"['P281', 'Q3846']"
30,"['P1344', 'P1352', 'P166', 'P3450', 'Q1774251', 'Q350568', 'Q406039']"
31,"['P2250', 'P585', 'Q794']"
32,"['P1082', 'P585', 'Q42053']"
33,"['P710', 'Q164815', 'Q190076']"
34,"['P1344', 'P31', 'Q33881', 'Q66432']"
35,"['P21', 'P3373', 'P570', 'Q189307', 'Q6581097']"
36,"['P1196', 'Q23434']"
37,"['P1830', 'P452', 'Q170022']"
38,"['P1448', 'Q30']"
39,"['P2048', 'Q4176']"
40,['Q4186']
41,"['P131', 'P31', 'Q1055', 'Q644371']"
42,"['P175', 'P31', 'Q1744', 'Q482994']"
43,"['P175', 'P31', 'Q41076', 'Q482994']"
44,"['P175', 'P7937', 'Q208569', 'Q37150']"
45,"['P31', 'Q28171280']"
46,"['P166', 'P585', 'Q1465181', 'Q25369']"
47,"['P166', 'P585', 'Q169452', 'Q25369', 'Q674359']"
48,"['P31', 'P50', 'Q39829', 'Q7725634']"
49,"['P800', 'Q20640708']"
50,"['P108', 'P279', 'P31', 'P69', 'Q3918', 'Q4963691']"
51,"['P22', 'P25', 'P26', 'P582', 'Q312556']"
52,"['P22', 'P25', 'P26', 'P582', 'Q228899', 'Q2599']"
53,"['P31', 'Q79226802']"
54,"['P279', 'P31', 'P527', 'Q1144286', 'Q515']"
55,"['P31', 'Q133442']"
56,"['P112', 'P279', 'P31', 'Q19837', 'Q4830453']"
57,"['P1622', 'P31', 'P8328', 'Q13196750', 'Q6256']"
58,"['P31', 'P463', 'Q1065', 'Q6256']"
59,"['P30', 'P31', 'Q18', 'Q6256']"
60,"['P17', 'P2044', 'P279', 'P31', 'Q8502']"
61,"['P1441', 'P279', 'P31', 'Q23572', 'Q30170627']"
62,"['P166', 'P279', 'P361', 'Q123737', 'Q23572']"
63,"['P279', 'P31', 'P4969', 'Q11424', 'Q92582']"
64,"['P1196', 'P39', 'Q18384454', 'Q3739104']"
65,"['P735', 'Q9682']"
66,"['P21', 'P6', 'Q1055', 'Q6581072']"
67,"['P35', 'Q794']"
68,"['P31', 'P921', 'Q13442814', 'Q24901201']"
69,"['P1082', 'P19', 'Q11571']"
70,"['P106', 'P166', 'P27', 'P279', 'Q17', 'Q36180', 'Q7191']"
71,"['P2936', 'Q668']"
72,"['P462', 'Q283']"
73,"['P937', 'Q153793']"
74,"['P2922', 'P3005', 'P361', 'P527', 'Q1311', 'Q183']"
75,"['P179', 'P31', 'Q11424', 'Q388659']"
76,"['P31', 'P57', 'P577', 'Q11424', 'Q42574']"
77,"['P31', 'P57', 'Q11424', 'Q8006']"
78,"['P31', 'Q179651']"
79,"['P832', 'Q980']"
80,"['P31', 'P50', 'Q7725634', 'Q82464']"
81,"['P31', 'P50', 'Q7245', 'Q7725634']"
82,"['P106', 'Q7245']"
83,"['P175', 'P27', 'Q145', 'Q79037']"
84,"['P37', 'Q30']"
85,"['P37', 'Q843']"
86,"['P166', 'P31', 'P57', 'Q19020', 'Q55400']"
87,"['P170', 'P276', 'P279', 'P31', 'Q3305213', 'Q33506', 'Q5593']"
88,"['P1873', 'Q545129']"
89,"['P157', 'P31', 'Q201377', 'Q5']"
90,"['P1120', 'P1542', 'Q58715']"
91,"['P166', 'P31', 'Q37922', 'Q5']"
92,"['P1082', 'P206', 'P31', 'Q3392', 'Q515']"
93,"['P31', 'P527', 'Q1760309', 'Q202021']"
94,"['P31', 'P50', 'P571', 'P7937', 'Q25379', 'Q692', 'Q7725634']"
95,"['P136', 'P279', 'P31', 'P50', 'Q482', 'Q6711', 'Q7725634']"
96,"['P1410', 'P194', 'P279', 'P31', 'Q154797', 'Q7278']"
97,"['P413', 'Q25369']"
98,"['P112', 'P527', 'Q23810', 'Q7191']"
99,"['P137', 'P31', 'Q193701', 'Q2133344', 'Q99654400']"
100,"['P1411', 'P166', 'P31', 'Q44585', 'Q5']"
101,"['P2437', 'Q30603704']"
102,"['P1342', 'Q154797']"
103,"['P3373', 'P50', 'Q523076']"
104,"['P17', 'P31', 'Q130003', 'Q142']"
105,"['P175', 'P31', 'P361', 'P86', 'Q238819', 'Q482994', 'Q7366']"
106,"['P144', 'P1441', 'Q1621261', 'Q79037']"
107,"['P26', 'Q158861']"
108,"['P1332', 'Q39']"
109,"['P166', 'P31', 'Q1011547', 'Q312674']"
110,"['P1344', 'P279', 'P31', 'Q25369', 'Q5389']"
111,"['P39', 'Q110719', 'Q18130478']"
112,"['P1344', 'P31', 'Q188712', 'Q198']"
113,"['P112', 'P21', 'Q152778', 'Q6581072']"
114,"['P4214', 'Q174199', 'Q36341']"
115,"['P31', 'Q18032040']"
116,"['P166', 'Q194285', 'Q242643']"
117,"['P585', 'Q208156']"
118,"['P1411', 'Q188914', 'Q242643']"
119,"['P31', 'P569', 'P570', 'Q144']"
120,"['P2031', 'Q15862']"
121,"['P138', 'P61', 'Q623561']"
122,"['P161', 'P31', 'Q11424', 'Q193815', 'Q219655']"
123,"['P35', 'P495', 'Q92580']"
124,"['P131', 'P206', 'P31', 'P740', 'Q35657', 'Q4022', 'Q68061']"
125,"['P131', 'P159', 'P31', 'Q1221156', 'Q608350']"
126,"['P115', 'Q213417']"
127,"['P17', 'Q5451']"
128,"['P1376', 'P580', 'P582', 'Q42053']"
129,"['P31', 'P527', 'Q1769361', 'Q6256']"
130,"['P131', 'P159', 'P31', 'Q1771942', 'Q6256']"
131,"['P17', 'Q3233785']"
132,"['P17', 'Q98138090']"
133,"['P495', 'Q689141']"
134,"['P138', 'P175', 'Q1128775', 'Q1744']"
135,"['P1813', 'Q30']"
136,"['P473', 'Q2706']"
137,"['P161', 'P31', 'Q11424', 'Q37175']"
138,"['P577', 'Q338553']"
139,"['P50', 'P569', 'Q98476957']"
140,"['P176', 'Q157062', 'Q388973']"
141,"['P17', 'P527', 'Q125054', 'Q38']"
142,"['P31', 'Q1549591', 'Q42053']"
143,"['Q336', 'Q395']"
144,"['P31', 'Q28865', 'Q9143']"
145,"['P279', 'P31', 'Q104640197', 'Q1213562', 'Q143276']"
146,"['P21', 'P26', 'P580', 'P6', 'Q183', 'Q6581072']"
147,"['P2044', 'Q510', 'Q513']"
148,"['P30', 'P31', 'Q46', 'Q48', 'Q6256']"
149,"['P272', 'P576', 'Q143276']"
150,"['P21', 'P674', 'Q6581072', 'Q696071']"
151,"['P462', 'Q11567495', 'Q283']"
152,"['P463', 'Q11885', 'Q11895']"
153,"['P2046', 'P36', 'Q183', 'Q794']"
154,"['P2043', 'Q1650', 'Q584']"
155,"['P2048', 'Q10993', 'Q9545']"
156,"['P206', 'Q1169', 'Q1297']"
157,"['P47', 'Q6224', 'Q6228']"
158,"['P131', 'Q4186', 'Q7858']"
159,"['P166', 'P31', 'P585', 'Q37922', 'Q38104', 'Q5']"
160,"['P166', 'P172', 'P31', 'Q17985761', 'Q49085', 'Q5']"
161,"['P31', 'P47', 'Q408', 'Q6256']"
162,"['P21', 'P39', 'Q268218', 'Q6581072']"
163,"['P102', 'Q153965']"
164,"['P1619', 'Q71719']"
165,"['P31', 'P750', 'Q59152282', 'Q70209136']"
166,"['P582', 'Q3044693']"
167,"['P571', 'Q6228']"
168,"['P1552', 'P2002', 'Q28378282', 'Q858851']"
169,"['P569', 'Q567', 'Q9545']"
170,"['P1098', 'Q5287']"
171,"['P161', 'P57', 'Q2745616', 'Q58815001']"
172,"['P175', 'P31', 'P577', 'Q238819', 'Q482994']"
173,"['P17', 'Q1653']"
174,"['P1034', 'Q81214']"
175,"['P135', 'Q39427', 'Q5588']"
176,"['P57', 'Q696928', 'Q951002']"
177,"['P112', 'Q5284', 'Q95']"
178,"['P155', 'P156', 'P31', 'P361', 'Q19793459', 'Q8216']"
179,"['P279', 'P509', 'Q12078', 'Q19837']"
180,"['P54', 'P580', 'P582', 'Q169452', 'Q25369']"
181,"['P106', 'Q10800557', 'Q169452', 'Q3665646']"
182,"['P175', 'P31', 'P577', 'Q16954319', 'Q482994']"
183,"['P2512', 'Q1079']"
184,"['P206', 'P31', 'Q118841', 'Q4022']"
185,"['P793', 'Q5577']"
186,"['P1001', 'P31', 'P361', 'P467', 'Q1006079', 'Q183', 'Q629029']"
187,"['P31', 'Q11862829']"
188,"['P35', 'Q142', 'Q183']"
189,"['P106', 'P22', 'P31', 'Q1203', 'Q5']"
190,"['P1476', 'P179', 'P279', 'P31', 'Q11424', 'Q22092344']"
191,"['P577', 'P580', 'Q1608064', 'Q201358']"
192,"['P462', 'Q48160']"
193,"['P279', 'P3712', 'P425', 'Q322170']"
194,"['P2521', 'Q39018']"
195,"['P1120', 'P279', 'P31', 'P580', 'P582', 'Q1190554']"
196,"['P576', 'Q213849']"
197,"['P793', 'Q430']"
198,"['P1303', 'Q1779']"
199,"['P50', 'P509', 'Q271723']"
200,"['P21', 'P451', 'Q6711']"
201,"['P36', 'Q1490']"
202,"['P155', 'P31', 'Q599644', 'Q79226802']"
203,"['P1128', 'P2139', 'P361', 'P585', 'Q30748112']"
204,"['P625', 'Q15174']"
205,"['P31', 'Q315296']"
206,"['P176', 'P31', 'Q163829', 'Q848490']"
207,"['P1128', 'Q1027807']"
208,"['P921', 'Q11419997', 'Q15360275', 'Q16003532', 'Q16003605']"
209,"['P103', 'Q230141']"
210,"['P451', 'Q6711']"
211,"['P178', 'P577', 'Q677273']"
212,"['P161', 'P2437', 'P31', 'P580', 'Q23760', 'Q5398426']"
213,"['P1449', 'Q1768']"
214,"['P106', 'P21', 'P40', 'Q272855', 'Q6581072']"
215,"['P106', 'Q137042']"
216,"['P37', 'Q794']"
217,"['P1082', 'Q2833']"
218,"['P1476', 'P161', 'P31', 'P577', 'Q11424', 'Q219655']"
219,"['P1056', 'Q653941']"
220,"['P1412', 'P802', 'P97', 'Q12097', 'Q868']"
221,"['P2936', 'Q36']"
222,"['P2936', 'P527', 'Q27496']"
223,"['P2046', 'Q183', 'Q36']"
224,"['P31', 'P527', 'Q263478', 'Q55706505']"
225,"['P106', 'P166', 'P26', 'Q37922']"
226,"['P279', 'P31', 'P577', 'Q24514682', 'Q7889']"
227,"['P279', 'P31', 'P580', 'P582', 'Q12542', 'Q8432']"
228,"['P1056', 'P279', 'P31', 'Q431289', 'Q457239']"
229,"['P136', 'P279', 'P31', 'P577', 'Q11424', 'Q267721', 'Q842256']"
230,"['P161', 'P170', 'Q19798744']"
231,"['P175', 'P31', 'Q482994', 'Q755830']"
232,"['P97', 'Q7259']"
233,"['P2925', 'Q167685']"
234,"['P31', 'P7047', 'Q177329', 'Q74359']"
235,"['P170', 'P31', 'P571', 'Q3305213', 'Q5582']"
236,"['P921', 'Q636399']"
237,"['P580', 'Q81214']"
238,"['P576', 'Q5086']"
239,"['P580', 'Q23001951']"
240,"['P570', 'Q6711']"
241,"['P570', 'Q1768']"
242,"['P571', 'Q852989']"
243,"['P571', 'Q843']"
244,"['P570', 'Q43347']"
245,"['P21', 'P3373', 'P50', 'P570', 'Q265954', 'Q6581097']"
246,"['P170', 'P569', 'Q13979']"
247,"['P710', 'Q551416']"
248,"['P580', 'Q19798744']"
249,"['P1120', 'Q815436']"
250,"['P571', 'Q41304']"
251,"['P582', 'Q362']"
252,"['P571', 'Q1420480']"
253,"['P1433', 'P279', 'P31', 'P571', 'Q41298', 'Q696071']"
254,"['P577', 'Q58815001']"
255,"['P571', 'Q4176']"
256,"['P2176', 'Q133087']"
257,"['P575', 'Q15787']"
258,"['P279', 'P31', 'P577', 'P921', 'Q191067', 'Q6557482']"
259,"['P569', 'Q4612']"
260,"['P575', 'Q12190']"
261,"['P569', 'Q43347']"
262,"['P580', 'Q37068']"
263,"['P576', 'Q703237']"
264,"['P175', 'P31', 'P577', 'Q482994', 'Q7861093']"
265,"['P571', 'Q27706']"
266,"['P1619', 'Q693956']"
267,"['P571', 'Q800176']"
268,"['P571', 'Q1545259']"
269,"['P571', 'Q35794']"
270,"['P571', 'Q156725']"
271,"['P571', 'Q1514848']"
272,"['P571', 'Q237']"
273,"['P571', 'Q1771942']"
274,"['P20', 'Q33391']"
275,"['P840', 'Q152267', 'Q476871']"
276,"['P276', 'Q551416']"
277,"['P840', 'Q15228']"
278,"['P495', 'Q46577569']"
279,"['P166', 'P69', 'Q103618']"
280,"['P19', 'Q26707663']"
281,"['P610', 'Q20']"
282,"['P740', 'Q54555985']"
283,"['P20', 'Q1048']"
284,"['P19', 'P451', 'Q5879']"
285,"['P740', 'Q848490']"
286,"['P19', 'P50', 'Q183883']"
287,"['P800', 'Q315296']"
288,"['P161', 'Q19347291', 'Q38685497']"
289,"['P22', 'P39', 'Q11696']"
290,"['P4214', 'Q33602', 'Q36101']"
291,"['P279', 'P31', 'P527', 'Q192626', 'Q23442', 'Q38095']"
292,"['P135', 'P31', 'Q117012', 'Q968159']"
293,"['P571', 'Q15862', 'Q2306']"
294,"['P509', 'Q25369']"
295,"['P461', 'Q204']"
296,"['P112', 'P169', 'P279', 'P31', 'Q478214', 'Q4830453']"
297,"['P1082', 'P585', 'Q183']"
298,"['P178', 'P279', 'P31', 'Q11436', 'Q189081']"
299,"['P37', 'Q115', 'Q258']"
300,"['P279', 'P31', 'Q1067089', 'Q82821']"
301,"['P279', 'P509', 'Q12136', 'Q7245']"
302,"['P1542', 'P279', 'Q12136', 'Q662860']"
303,"['P136', 'Q68061']"
304,"['P2054', 'Q677', 'Q708']"
305,"['P122', 'P1365', 'P279', 'Q1115291', 'Q7269']"
306,"['P17', 'P31', 'Q183', 'Q8502']"
307,"['P135', 'Q910199']"
308,"['P527', 'Q169604']"
309,"['P607', 'Q2945433']"
310,"['P1346', 'P31', 'P3450', 'Q13393265', 'Q155223', 'Q27020041']"
311,"['P1441', 'P20', 'P279', 'P31', 'Q23572', 'Q30170627']"
312,"['P161', 'P31', 'P57', 'Q11424', 'Q294647', 'Q69303989']"
313,"['P17', 'P2048', 'P279', 'P31', 'Q12516', 'Q79']"
314,"['P37', 'Q1867']"
315,"['P31', 'P580', 'Q13979', 'Q5398426']"
316,"['P31', 'P361', 'Q105543609', 'Q134556', 'Q828282']"
317,"['P571', 'P580', 'Q40415', 'Q80113']"
318,"['P131', 'P31', 'P551', 'Q2695156', 'Q35657']"
319,"['P106', 'P172', 'P26', 'P31', 'Q11397897', 'Q2035494', 'Q2292830']"
320,"['P1923', 'Q46569648']"
321,"['P2196', 'P31', 'Q3918']"
322,"['P571', 'Q34433', 'Q35794']"
323,"['P178', 'Q533822']"
324,"['P161', 'P21', 'Q63246568', 'Q6581072']"
325,"['P54', 'Q25369', 'Q41421']"
326,"['P61', 'Q163310']"
327,"['P571', 'Q523286']"
328,"['P20', 'P31', 'Q5', 'Q934']"
329,"['P57', 'Q28091065']"
330,"['P2093', 'P50', 'Q44649835']"
331,"['P112', 'Q117035']"
332,"['P112', 'Q479361']"
333,"['P50', 'Q27863945']"
334,"['P106', 'P6509', 'Q937857']"
335,"['P170', 'Q1211977']"
336,"['P488', 'Q154797']"
337,"['P106', 'P2218', 'Q131524']"
338,"['P161', 'P569', 'Q48817408']"
339,"['P123', 'Q2357719']"
340,"['P800', 'Q315296']"
341,"['P17', 'Q130736']"
342,"['P162', 'Q181803']"
343,"['P161', 'P31', 'Q11424', 'Q166389', 'Q343616']"
344,"['P1411', 'P31', 'Q378427', 'Q7197']"
345,"['P856', 'Q30588383']"
346,"['P170', 'Q2394280']"
347,"['P170', 'Q16889037']"
348,"['P57', 'Q55621114']"
349,"['P112', 'Q848490']"
350,"['P175', 'Q2518973']"
351,"['P22', 'P25', 'Q913']"
352,"['P50', 'Q565911']"
353,"['P50', 'Q1545259']"
354,"['P50', 'Q3521239']"
355,"['P26', 'Q462333']"
356,"['P31', 'P571', 'Q220505']"
357,"['P571', 'Q1524']"
358,"['P2043', 'Q1471', 'Q1644']"
359,"['P577', 'Q11168', 'Q173626']"
360,"['P463', 'P569', 'Q51885404']"
361,"['P569', 'Q11571', 'Q615']"
362,"['P571', 'Q151510', 'Q156725']"
363,"['P2046', 'Q177567', 'Q932289']"
364,"['P1128', 'Q20718', 'Q312']"
365,"['P571', 'Q20716', 'Q41187']"
366,"['P2048', 'Q11571', 'Q615']"
367,"['P166', 'Q25369', 'Q41421']"
368,"['P2067', 'Q25369', 'Q41421']"
369,"['P569', 'Q42311', 'Q9673']"
370,"['P1082', 'Q1748', 'Q727']"
371,"['P527', 'Q673']"
372,"['P106', 'P21', 'P279', 'P31', 'Q11397897', 'Q6581072', 'Q95074']"
373,"['P571', 'Q2905359', 'Q3821214']"
374,"['P2046', 'Q208299', 'Q6583']"
375,"['P570', 'Q1057918', 'Q713701']"
376,"['P2046', 'Q7347']"
377,"['P1559', 'P85', 'P86', 'Q17']"
378,"['P112', 'P36', 'Q881']"
379,"['P1037', 'P137', 'Q7933']"
380,"['P20', 'P2044', 'Q195351']"
381,"['P740', 'Q163173']"
382,"['P2522', 'P3450', 'Q19317', 'Q676899']"
383,"['P2046', 'P36', 'Q25231']"
384,"['P2927', 'Q228']"
385,"['P17', 'P30', 'Q4127', 'Q46']"
386,"['P26', 'Q151973']"
387,"['P625', 'Q1717891']"
388,"['P106', 'P119', 'P734', 'P735', 'Q15840785', 'Q49757', 'Q923']"
389,"['P17', 'Q327818']"
390,"['P112', 'P84', 'Q673223']"
391,"['P112', 'P17', 'P19', 'Q15920']"
392,"['P495', 'Q506040']"
393,"['P186', 'Q39231']"
